,0
0,4249aa6b-b1e5-4687-a2bc-3aad9113beba
1,926131b0-1a64-4aeb-b823-cddc67221ba6
2,4cc8fbda-3ac1-4af4-b81e-4fa1735f961d
3,720e0017-1e2b-4ca6-b2d4-b6e9f922100d
4,07219725-c28a-4114-bea4-8ae95d4147ed
5,d47cfbc5-f5f2-46ec-bb7a-b172b4b76871
6,027af2bc-1daf-4731-b772-d74e2c32ef17
7,115fcae3-1934-4ab7-bb21-2cde828c2a24
8,de6d9167-785f-4f75-9957-41fcfa882476
9,781ae4aa-91fe-4e1e-a8ad-db45b8cf75e8
10,cd7da217-012e-4cc5-8484-56704eed2f41
11,69ae4e35-5d34-45fd-b3ea-2ac977be7cea
12,b4ae787c-5df2-40c9-94a8-4fc610772966
13,667da18f-a917-4de8-835a-6b68b4213ec3
14,aadf7d28-3a5d-47cf-83b2-e889c518c086
15,0f618d6f-ff80-41bf-9d32-a0f10b733399
16,ea77562e-03ea-46c6-b560-55cfbd42fb19
17,43839716-2b55-45db-b5db-581809458269
18,44e8a5e0-ceaa-4725-bb4f-fc168e863b14
19,f8f88807-681c-4c33-9108-4b91542b879a
20,fc202fa9-860d-427e-8c10-17f668f78c5a
21,ec6578b2-bc06-42be-a651-3ae23d3419fe
22,bfcc1c1a-6bc1-44c7-85ea-75dc4f37b985
23,af6692b3-7181-4d82-9f99-f093eec909bd
24,bcf60fad-22cf-4e6a-ace6-cb34b3a92efa
25,daf5a4d7-1903-4581-8e53-14deac306756
26,556ee097-b129-4c6d-b7dc-33c6ef2c1166
27,4858bd71-c3a1-4d7f-9327-fa9f64727b0e
28,6b338074-a3a4-4a44-9d6e-980beec2609c
29,db8670d3-d108-40e3-946e-3306d4d280fb
30,07575b86-82b4-4c4c-9800-9dcac3a6b39f
31,c6c1f599-d069-41d9-a9ec-ee506143711e
32,f1ee6c4f-c706-440d-b188-f557edd20770
33,4b4cfdef-8e56-46dc-84ca-e0b4d855ddb9
34,6bd22cd1-55ca-4d36-af79-d3f7179b3829
35,20e245f0-a9bc-4ec7-872c-7ef1a3c1c58b
36,ce507e6a-6d6a-45e8-850c-57996e77b1f2
37,5895e739-6057-4a8c-9668-daedfe0722bd
38,c6e95111-cfea-41f6-8050-004cfd9c4902
39,8eb4e052-c7f6-4546-a891-703cf38c9be8
40,8e9ec27c-6120-4a73-b240-4202e4f8f7e0
41,ba62eac5-7e0a-48b5-9be8-119f9c64676d
